Номер часа;Номер энергорайона;Номер узла;Номер балансирующего узла
0;1009;1000713;1003080
0;1009;1000714;1003080
0;1009;1000719;1003080
0;1064;1003080;1003080
0;1097;1003176;1003080
1;1009;1000713;1003080
1;1009;1000714;1003080
1;1009;1000719;1003080
1;1064;1003080;1003080
1;1097;1003176;1003080
2;1009;1000713;1003080
2;1009;1000714;1003080
2;1009;1000719;1003080
2;1064;1003080;1003080
2;1097;1003176;1003080
3;1009;1000713;1003080
3;1009;1000714;1003080
3;1009;1000719;1003080
3;1064;1003080;1003080
3;1097;1003176;1003080
4;1009;1000713;1003080
4;1009;1000714;1003080
4;1009;1000719;1003080
4;1064;1003080;1003080
4;1097;1003176;1003080
5;1009;1000713;1003080
5;1009;1000714;1003080
5;1009;1000719;1003080
5;1064;1003080;1003080
5;1097;1003176;1003080
6;1009;1000713;1003080
6;1009;1000714;1003080
6;1009;1000719;1003080
6;1064;1003080;1003080
6;1097;1003176;1003080
7;1009;1000713;1003080
7;1009;1000714;1003080
7;1009;1000719;1003080
7;1064;1003080;1003080
7;1097;1003176;1003080
8;1009;1000713;1003080
8;1009;1000714;1003080
8;1009;1000719;1003080
8;1064;1003080;1003080
8;1097;1003176;1003080
9;1009;1000713;1003080
9;1009;1000714;1003080
9;1009;1000719;1003080
9;1064;1003080;1003080
9;1097;1003176;1003080
10;1009;1000713;1003080
10;1009;1000714;1003080
10;1009;1000719;1003080
10;1064;1003080;1003080
10;1097;1003176;1003080
11;1009;1000713;1003080
11;1009;1000714;1003080
11;1009;1000719;1003080
11;1064;1003080;1003080
11;1097;1003176;1003080
12;1009;1000713;1003080
12;1009;1000714;1003080
12;1009;1000719;1003080
12;1064;1003080;1003080
12;1097;1003176;1003080
13;1009;1000713;1003080
13;1009;1000714;1003080
13;1009;1000719;1003080
13;1064;1003080;1003080
13;1097;1003176;1003080
14;1009;1000713;1003080
14;1009;1000714;1003080
14;1009;1000719;1003080
14;1064;1003080;1003080
14;1097;1003176;1003080
15;1009;1000713;1003080
15;1009;1000714;1003080
15;1009;1000719;1003080
15;1064;1003080;1003080
15;1097;1003176;1003080
16;1009;1000713;1003080
16;1009;1000714;1003080
16;1009;1000719;1003080
16;1064;1003080;1003080
16;1097;1003176;1003080
17;1009;1000713;1003080
17;1009;1000714;1003080
17;1009;1000719;1003080
17;1064;1003080;1003080
17;1097;1003176;1003080
18;1009;1000713;1003080
18;1009;1000714;1003080
18;1009;1000719;1003080
18;1064;1003080;1003080
18;1097;1003176;1003080
19;1009;1000713;1003080
19;1009;1000714;1003080
19;1009;1000719;1003080
19;1064;1003080;1003080
19;1097;1003176;1003080
20;1009;1000713;1003080
20;1009;1000714;1003080
20;1009;1000719;1003080
20;1064;1003080;1003080
20;1097;1003176;1003080
21;1009;1000713;1003080
21;1009;1000714;1003080
21;1009;1000719;1003080
21;1064;1003080;1003080
21;1097;1003176;1003080
22;1009;1000713;1003080
22;1009;1000714;1003080
22;1009;1000719;1003080
22;1064;1003080;1003080
22;1097;1003176;1003080
23;1009;1000713;1003080
23;1009;1000714;1003080
23;1009;1000719;1003080
23;1064;1003080;1003080
23;1097;1003176;1003080
0;1098;1001199;1005002
0;1099;1005002;1005002
1;1098;1001199;1005002
1;1099;1005002;1005002
2;1098;1001199;1005002
2;1099;1005002;1005002
3;1098;1001199;1005002
3;1099;1005002;1005002
4;1098;1001199;1005002
4;1099;1005002;1005002
5;1098;1001199;1005002
5;1099;1005002;1005002
6;1098;1001199;1005002
6;1099;1005002;1005002
7;1098;1001199;1005002
7;1099;1005002;1005002
8;1098;1001199;1005002
8;1099;1005002;1005002
9;1098;1001199;1005002
9;1099;1005002;1005002
10;1098;1001199;1005002
10;1099;1005002;1005002
11;1098;1001199;1005002
11;1099;1005002;1005002
12;1098;1001199;1005002
12;1099;1005002;1005002
13;1098;1001199;1005002
13;1099;1005002;1005002
14;1098;1001199;1005002
14;1099;1005002;1005002
15;1098;1001199;1005002
15;1099;1005002;1005002
16;1098;1001199;1005002
16;1099;1005002;1005002
17;1098;1001199;1005002
17;1099;1005002;1005002
18;1098;1001199;1005002
18;1099;1005002;1005002
19;1098;1001199;1005002
19;1099;1005002;1005002
20;1098;1001199;1005002
20;1099;1005002;1005002
21;1098;1001199;1005002
21;1099;1005002;1005002
22;1098;1001199;1005002
22;1099;1005002;1005002
23;1098;1001199;1005002
23;1099;1005002;1005002
0;1061;1005005;1005005
0;1062;1000874;1005005
0;1063;1000895;1005005
1;1061;1005005;1005005
1;1062;1000874;1005005
1;1063;1000895;1005005
2;1061;1005005;1005005
2;1062;1000874;1005005
2;1063;1000895;1005005
3;1061;1005005;1005005
3;1062;1000874;1005005
3;1063;1000895;1005005
4;1061;1005005;1005005
4;1062;1000874;1005005
4;1063;1000895;1005005
5;1061;1005005;1005005
5;1062;1000874;1005005
5;1063;1000895;1005005
6;1061;1005005;1005005
6;1062;1000874;1005005
6;1063;1000895;1005005
7;1061;1005005;1005005
7;1062;1000874;1005005
7;1063;1000895;1005005
8;1061;1005005;1005005
8;1062;1000874;1005005
8;1063;1000895;1005005
9;1061;1005005;1005005
9;1062;1000874;1005005
9;1063;1000895;1005005
10;1061;1005005;1005005
10;1062;1000874;1005005
10;1063;1000895;1005005
11;1061;1005005;1005005
11;1062;1000874;1005005
11;1063;1000895;1005005
12;1061;1005005;1005005
12;1062;1000874;1005005
12;1063;1000895;1005005
13;1061;1005005;1005005
13;1062;1000874;1005005
13;1063;1000895;1005005
14;1061;1005005;1005005
14;1062;1000874;1005005
14;1063;1000895;1005005
15;1061;1005005;1005005
15;1062;1000874;1005005
15;1063;1000895;1005005
16;1061;1005005;1005005
16;1062;1000874;1005005
16;1063;1000895;1005005
17;1061;1005005;1005005
17;1062;1000874;1005005
17;1063;1000895;1005005
18;1061;1005005;1005005
18;1062;1000874;1005005
18;1063;1000895;1005005
19;1061;1005005;1005005
19;1062;1000874;1005005
19;1063;1000895;1005005
20;1061;1005005;1005005
20;1062;1000874;1005005
20;1063;1000895;1005005
21;1061;1005005;1005005
21;1062;1000874;1005005
21;1063;1000895;1005005
22;1061;1005005;1005005
22;1062;1000874;1005005
22;1063;1000895;1005005
23;1061;1005005;1005005
23;1062;1000874;1005005
23;1063;1000895;1005005
